Id,SalePrice
1461,120405.4887132071
1462,153764.15935156285
1463,178947.33068640454
1464,186876.4279229383
1465,200845.1282236431
1466,175910.32184630312
1467,178684.94739578498
1468,167775.0149411566
1469,181036.85039646708
1470,122295.15899132995
1471,204361.65496524755
1472,104488.76030758981
1473,102712.29588887913
1474,154077.1152175879
1475,133117.2934835569
1476,356817.53619885945
1477,259064.583894147
1478,288623.4765639622
1479,276883.9553658243
1480,463964.57459825475
1481,312678.45970972604
1482,214889.05537039155
1483,180647.3848857928
1484,178420.64504643282
1485,184689.76299545285
1486,201151.64126558084
1487,320223.06722078123
1488,247155.41151842085
1489,192987.65850167428
1490,203153.30012868092
1491,196488.32753320492
1492,100898.93968290642
1493,187688.59556287754
1494,286595.35213876097
1495,299770.2463988022
1496,220243.46616871335
1497,190194.52894793288
1498,165679.46580652244
1499,165207.72013552638
1500,154490.9262670544
1501,169028.52382998346
1502,161195.35078948332
1503,280525.007079563
1504,228484.40360854345
1505,212760.14886995804
1506,186816.09936375992
1507,213062.7069285714
1508,191566.55787677114
1509,169305.6038627648
1510,144983.06976506443
1511,145635.726785989
1512,167149.72018549597
1513,146388.71253865364
1514,161974.62239178095
1515,203082.58044115745
1516,156197.0950319176
1517,157145.7533137424
1518,133102.4671856434
1519,220335.82273249628
1520,130162.25022033982
1521,135627.19473487555
1522,158283.27899500873
1523,107809.99728729596
1524,126381.81358733561
1525,123831.2921957313
1526,124671.45842749384
1527,105491.40779854753
1528,140032.53028446046
1529,144812.01108310194
1530,179774.90116692695
1531,99975.81268931777
1532,104403.03759810585
1533,141658.2680813432
1534,130608.42654092734
1535,153696.7617320577
1536,117447.6025303731
1537,68097.2076849827
1538,181945.11681347498
1539,210523.10922470537
1540,99300.73516460869
1541,150680.5433402029
1542,138936.54169418567
1543,192408.61587744876
1544,90863.87379736849
1545,115944.87193389547
1546,122189.29342364051
1547,127446.6132181633
1548,135405.09228150448
1549,120352.6105287056
1550,127270.82659847803
1551,118017.26851816635
1552,115637.76991467888
1553,144709.0806069834
1554,125674.74892617183
1555,152386.64658586573
1556,86486.25409661625
1557,110191.00693811185
1558,98955.89242549447
1559,81836.54165272616
1560,137955.41229131882
1561,120175.28279247419
1562,122689.01486180582
1563,113782.70607435888
1564,160867.70906391527
1565,136530.76240895555
1566,226663.86787476906
1567,82182.33415968323
1568,208017.20076508637
1569,121206.9477904992
1570,127291.1202006367
1571,123006.50584477787
1572,149728.98444634845
1573,244992.9400270216
1574,108157.04325001867
1575,210480.47691922437
1576,237091.01176716416
1577,193752.34766776516
1578,146714.67497767293
1579,140817.40610632178
1580,192967.32411052377
1581,146550.02090168663
1582,127929.13529148676
1583,327793.53910313896
1584,232836.14848385387
1585,152919.8693313711
1586,84107.5365015353
1587,106572.82444388326
1588,143236.08593239647
1589,104084.95433662113
1590,135661.99001684334
1591,94860.4218085646
1592,121196.19482182048
1593,119701.17957388435
1594,131746.75392205027
1595,94119.45273138979
1596,209423.32917609042
1597,179205.55631921254
1598,198236.49859422527
1599,199053.3883718411
1600,187387.55381196324
1601,69769.90700060676
1602,106983.73385489106
1603,93877.57736150947
1604,262784.18909950764
1605,248767.2506699033
1606,169892.41257985355
1607,175233.61989514023
1608,215995.85912572328
1609,193882.4917668144
1610,155130.49619492798
1611,137667.37624361622
1612,161582.93777082697
1613,148705.27170353988
1614,125572.77763733892
1615,90438.57356882305
1616,76527.88431367496
1617,96801.9517191716
1618,127253.22580569546
1619,135298.60508265265
1620,142924.3632382832
1621,136814.44056119755
1622,140899.21422024025
1623,269202.73981103057
1624,209855.01383585396
1625,122874.7253977236
1626,171338.4688945926
1627,186161.18775625055
1628,292377.17384320014
1629,181735.75381042305
1630,349326.4888235718
1631,216172.05953578747
1632,251341.7354185118
1633,177889.38724081527
1634,185559.54091187136
1635,175380.81531736493
1636,150789.27810348262
1637,166484.49127371726
1638,205957.0137053568
1639,186902.50312068168
1640,274407.8456843977
1641,192423.1791919951
1642,213826.17748079472
1643,229426.35670182665
1644,225481.37181240646
1645,183338.80940187062
1646,157659.66965732438
1647,169019.78592830885
1648,135288.2779231652
1649,135142.16963953467
1650,118653.94303791686
1651,122744.7371042373
1652,104833.16052327098
1653,110589.65834074303
1654,156033.03480209582
1655,156228.789067706
